source_id,provider,source_name,source_name_it,domain,access_type,base_url_or_path,priority,update_frequency,territorial_levels,temporal_coverage,notes
istat_85_171_DF_DCSA_VOLON_ORG1_2,istat,ISTAT organised volunteering by institutional type,ISTAT volontariato organizzato per tipo istituzionale,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Volunteering by host organisation type: ODV / APS / cooperative sociale etc. Maps to D.Lgs. 117/2017.
istat_85_171_DF_DCSA_VOLON_ORG1_3,istat,ISTAT organised volunteering by motivation,ISTAT volontariato organizzato per motivazione,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Motivations for volunteering by gender.
istat_85_171_DF_DCSA_VOLON_ORG1_4,istat,ISTAT organised volunteering by personal impact,ISTAT volontariato organizzato per impatto personale,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Self-reported personal benefits of volunteering by gender. Relevant for SROI frameworks.
istat_83_63_DF_DCCV_AVQ_PERSONE_129,istat,ISTAT associationism by age,ISTAT associazionismo per eta,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2010-present,Association membership rate by age group. Source: Aspetti della Vita Quotidiana (AVQ) set 2025.
istat_83_63_DF_DCCV_AVQ_PERSONE_130,istat,ISTAT associationism by age and education,ISTAT associazionismo per eta e istruzione,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2010-present,Association membership by age group and educational qualification.
istat_83_63_DF_DCCV_AVQ_PERSONE_131,istat,ISTAT associationism by occupational status,ISTAT associazionismo per condizione professionale,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2010-present,Association membership by labour market status.
istat_83_63_DF_DCCV_AVQ_PERSONE_132,istat,ISTAT associationism by region and municipality type,ISTAT associazionismo per regione e tipo comune,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,regionale,2010-present,Territorial breakdown of association membership by region and municipality size class.
runts,,RUNTS — Registro Unico Terzo Settore,RUNTS — Registro Unico Terzo Settore,social_economy,manual,ingestion/manual_sources/runts/,3,annual,nazionale,2022-present,Entity registry post-Codice del Terzo Settore. Download from mlps.gov.it.
camere_commercio,,Registro Imprese — Camere di Commercio,Registro Imprese — Camere di Commercio,social_economy,manual,ingestion/manual_sources/camere_commercio/,3,annual,nazionale;regionale;provinciale,2000-present,Cooperative register including social cooperatives.
ag_entrate,,Agenzia delle Entrate — ETS fiscali,Agenzia delle Entrate — enti non commerciali,social_economy,manual,ingestion/manual_sources/ag_entrate/,4,annual,nazionale,2015-present,Fiscal declarations by nonprofit entities. Financial data not available from APIs.
istat_150_873_DF_DCCV_FORZLVMENS1_1,istat,ISTAT labour force monthly (raw),ISTAT forze di lavoro mensili (dati grezzi),labour,api,https://esploradati.istat.it/SDMXWS/rest,1,monthly,nazionale,2004-present,Labour force 15+ in thousands by sex and age. Monthly raw data only (ADJUSTMENT=N). National total only.
istat_172_931_DF_DCCV_NEET1_11,istat,ISTAT NEET rate by region,ISTAT tasso NEET per regione,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2,2018-present,NEET rate 15-34 by sex and age band. NUTS2 regional breakdown. Starts 2018 (earliest available).
istat_172_931_DF_DCCV_NEET1_9,istat,ISTAT NEET rate by citizenship,ISTAT tasso NEET per cittadinanza,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,macro-aree,2018-present,NEET rate by sex age and citizenship (ITL/FRG/TOTAL). Macro-areas only. Starts 2018.
istat_152_913_DF_DCCV_TAXINATT1_5,istat,ISTAT inactivity rate by province,ISTAT tasso di inattivita per provincia,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2;NUTS3,2004-present,Inactivity rate by sex and age. Province level (NUTS3). Annual and quarterly.
istat_151_914_DF_DCCV_TAXDISOCCU1_8,istat,ISTAT unemployment rate by province,ISTAT tasso di disoccupazione per provincia,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2;NUTS3,2004-present,Unemployment rate by sex and age. Province level (NUTS3). Primary territorial unemployment dataset.
istat_151_914_DF_DCCV_TAXDISOCCU1_6,istat,ISTAT unemployment rate by education level,ISTAT tasso di disoccupazione per titolo di studio,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2,2004-present,Unemployment rate by sex age and educational level (3 levels). Regional granularity (NUTS2).
istat_151_914_DF_DCCV_TAXDISOCCU1_5,istat,ISTAT unemployment rate by detailed age,ISTAT tasso di disoccupazione per eta dettagliata,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2,2004-present,Unemployment rate by sex and 13 detailed age bands. Regional granularity (NUTS2).
istat_150_915_DF_DCCV_TAXOCCU1_5,istat,ISTAT employment rate by province,ISTAT tasso di occupazione per provincia,labour,api,https://esploradati.istat.it/SDMXWS/rest,1,annual;quarterly,NUTS0;NUTS2;NUTS3,2004-present,Employment rate by sex and age. Province level (NUTS3). Annual and quarterly.
eurostat_lfsa_egan22d_labour,eurostat,Eurostat national employment by all NACE activities,Eurostat occupazione nazionale per tutte le attivita NACE,labour,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual,NUTS0,2008-present,All NACE Rev.2 two-digit codes (sections A-U plus TOTAL). National level only. Fetched in 13 section groups.
eurostat_lfst_r_lfu3rt,eurostat,Eurostat unemployment rate by education level (NUTS2),Eurostat tasso di disoccupazione per istruzione NUTS2,labour,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual;quarterly,NUTS0;NUTS2,2004-present,Unemployment rate by sex age and ISCED 2011 education level. NUTS2 Italy plus NUTS0 all EU.
eurostat_lfst_r_lfur2gan,eurostat,Eurostat unemployment rate by citizenship (NUTS2),Eurostat tasso di disoccupazione per cittadinanza NUTS2,labour,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual;quarterly,NUTS0;NUTS2,2004-present,Unemployment rate by sex age and citizenship (NAT/FOR/TOTAL). NUTS2 Italy plus NUTS0 all EU.
eurostat_lfst_r_lfe2emprtn,eurostat,Eurostat employment rate by education and citizenship (NUTS2),Eurostat tasso di occupazione per istruzione e cittadinanza NUTS2,labour,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual,NUTS0;NUTS2,2004-present,Employment rate by sex education and citizenship. Age omitted — returns total working-age aggregate. NUTS2 Italy plus NUTS0 all EU.
